[2026-04-01T06:05:06.808Z] GET https://ccunpacked.dev/ → pending (?ms, ?B)
[2026-04-01T06:05:08.871Z] GET https://ccunpacked.dev/_astro/index@_@astro.I2k5PfzO.css → pending (?ms, ?B)
[2026-04-01T06:05:09.260Z] GET https://ccunpacked.dev/_astro/fonts/9d8f282e500af6f2.woff2 → 200 (618ms, 20088B)
[2026-04-01T06:05:09.281Z] GET https://ccunpacked.dev/_astro/SectionNav.BQ4gjUmT.js → pending (?ms, ?B)
[2026-04-01T06:05:09.281Z] GET https://ccunpacked.dev/_astro/client.bnjHR3qd.js → pending (?ms, ?B)
[2026-04-01T06:05:09.293Z] GET https://ccunpacked.dev/_astro/Hero.DXDtCyOi.js → pending (?ms, ?B)
[2026-04-01T06:05:09.378Z] GET https://ccunpacked.dev/_astro/fonts/318eb092e9cf3d57.woff2 → pending (?ms, ?B)
[2026-04-01T06:05:09.378Z] GET https://ccunpacked.dev/_astro/fonts/cc5f60fd46e42cc9.woff2 → pending (?ms, ?B)
[2026-04-01T06:05:09.378Z] GET https://ccunpacked.dev/_astro/fonts/4e13c01b98043a1e.woff2 → pending (?ms, ?B)
[2026-04-01T06:05:09.378Z] GET https://ccunpacked.dev/_astro/fonts/6bff7665f4e26971.woff2 → pending (?ms, ?B)
[2026-04-01T06:05:09.498Z] GET https://ccunpacked.dev/_astro/fonts/c8db80b9ce092d76.woff2 → pending (?ms, ?B)
[2026-04-01T06:05:09.531Z] GET https://ccunpacked.dev/_astro/QueryLoopViz.DrEvs_FG.js → pending (?ms, ?B)
[2026-04-01T06:05:10.033Z] GET https://ccunpacked.dev/_astro/index.B02hbnpo.js → 200 (617ms, 7614B)
[2026-04-01T06:05:10.033Z] GET https://ccunpacked.dev/_astro/index.CAlJn-XB.js → 200 (616ms, 3654B)
[2026-04-01T06:05:10.295Z] GET https://ccunpacked.dev/_astro/proxy.C6y0p4mK.js → 200 (648ms, ?B)
[2026-04-01T06:05:10.295Z] GET https://ccunpacked.dev/_astro/index.Cv-Gy-sq.js → 200 (356ms, 2942B)
[2026-04-01T06:05:10.684Z] GET https://ccunpacked.dev/_astro/FormattedText.MrEaUS2J.js → 200 (255ms, ?B)
